1	0.000000000	host	1.1.0	0x80	6	0x00				36
2	0.000000000	1.1.0	host	0x80						46
3	0.000000000	host	1.1.0	0x80	6	0x00				36
4	0.000000000	1.1.0	host	0x80						69
5	0.000000000	host	1.1.0	0x00	9	0x00		0		36
6	0.000000000	1.1.0	host	0x00						28
7	0.000000000	host	1.2.0	0x80	6	0x00				36
8	0.000000000	1.2.0	host	0x80						46
9	0.000000000	host	1.2.0	0x80	6	0x00				36
10	0.000000000	1.2.0	host	0x80						62
11	0.000000000	host	1.2.0	0x00	9	0x00		0		36
12	0.000000000	1.2.0	host	0x00						28
13	3.746262000	host	1.1.0	0x00		0x01				36
14	3.748060000	1.1.0	host	0x00						28
15	3.748086000	host	1.1.1	0x81						27
16	3.748122000	host	1.1.1	0x81						27
17	3.749212000	1.1.1	host	0x81						27
18	3.749235000	1.1.1	host	0x81						27
19	3.749344000	host	1.1.1	0x81						27
20	3.749359000	1.1.1	host	0x81						27
21	18.124914000	host	1.2.0	0x00		0x01				36
22	18.124984000	1.2.0	host	0x00						28
23	18.125007000	host	1.2.1	0x81						27
24	18.125050000	host	1.2.1	0x81						27
25	18.125271000	host	1.2.0	0x80	6	0x00				36
26	18.125352000	1.2.0	host	0x80						70
27	18.125476000	host	1.2.0	0x80	6	0x00				36
28	18.125534000	1.2.0	host	0x80						38
29	18.125574000	host	1.2.0	0x80	6	0x00				36
30	18.125631000	1.2.0	host	0x80						60
31	24.155197000	1.2.1	host	0x81						27
32	24.156019000	1.2.1	host	0x81						27
33	44.643770000	host	1.2.0	0x00		0x01				36
34	44.643868000	1.2.0	host	0x00						28
35	44.643917000	host	1.2.1	0x81						27
36	44.643954000	host	1.2.1	0x81						27
37	44.644439000	1.2.1	host	0x81					007f6ba95a00	33
38	44.644498000	host	1.2.1	0x81						27
39	44.676302000	1.2.1	host	0x81					007f64545200	33
40	44.696035000	host	1.2.1	0x81						27
41	44.701900000	1.2.1	host	0x81					00ff602a5000	33
42	44.702165000	host	1.2.1	0x81						27
43	44.713417000	1.2.1	host	0x81					00bf5fff4f00	33
44	44.713464000	host	1.2.1	0x81						27
45	44.750294000	1.2.1	host	0x81					007f5fff4f00	33
46	44.750351000	host	1.2.1	0x81						27
47	44.796028000	1.2.1	host	0x81					005f5d544f00	33
48	44.796070000	host	1.2.1	0x81						27
49	44.825734000	1.2.1	host	0x81					007f57544e00	33
50	44.825795000	host	1.2.1	0x81						27
51	44.853485000	1.2.1	host	0x81					003f522a4d00	33
52	44.853551000	host	1.2.1	0x81						27
53	44.886299000	1.2.1	host	0x81					003f51d44c00	33
54	44.886347000	host	1.2.1	0x81						27
55	44.930318000	1.2.1	host	0x81					013f51d44c00	33
56	44.930382000	host	1.2.1	0x81						27
57	45.021840000	1.2.1	host	0x81					003f51d44c00	33
58	45.021931000	host	1.2.1	0x81						27
59	45.039297000	1.2.1	host	0x81					003f51d44c00	33
60	45.039359000	host	1.2.1	0x81						27
61	45.174408000	1.2.1	host	0x81					009f51ff4c00	33
62	45.174463000	host	1.2.1	0x81						27
63	45.219759000	1.2.1	host	0x81					007f53545100	33
64	45.219806000	host	1.2.1	0x81						27
65	45.251115000	1.2.1	host	0x81					00df56545900	33
66	45.251158000	host	1.2.1	0x81						27
67	45.281978000	1.2.1	host	0x81					00ff5b546200	33
68	45.282028000	host	1.2.1	0x81						27
69	45.311154000	1.2.1	host	0x81					001f60296800	33
70	45.311190000	host	1.2.1	0x81						27
71	45.341434000	1.2.1	host	0x81					00ff62546b00	33
72	45.341470000	host	1.2.1	0x81						27
73	45.373172000	1.2.1	host	0x81					009f63296c00	33
74	45.373209000	host	1.2.1	0x81						27
75	45.402567000	1.2.1	host	0x81					00bf63d46c00	33
76	45.402604000	host	1.2.1	0x81						27
77	45.432363000	1.2.1	host	0x81					00bf63546d00	33
78	45.432425000	host	1.2.1	0x81						27
79	45.461365000	1.2.1	host	0x81					00bf63296e00	33
80	45.461429000	host	1.2.1	0x81						27
81	45.493378000	1.2.1	host	0x81					00bf63547200	33
82	45.493440000	host	1.2.1	0x81						27
83	45.523789000	1.2.1	host	0x81					001f64d47500	33
84	45.523868000	host	1.2.1	0x81						27
85	45.553974000	1.2.1	host	0x81					001f64ff7600	33
86	45.554013000	host	1.2.1	0x81						27
87	45.599304000	1.2.1	host	0x81					003f63d47800	33
88	45.599355000	host	1.2.1	0x81						27
89	45.629401000	1.2.1	host	0x81					00bf62d47900	33
90	45.629465000	host	1.2.1	0x81						27
91	45.691431000	1.2.1	host	0x81					00df62a97a00	33
92	45.691524000	host	1.2.1	0x81						27
93	45.721815000	1.2.1	host	0x81					00ff63d47b00	33
94	45.721862000	host	1.2.1	0x81						27
95	45.752248000	1.2.1	host	0x81					005f66a97d00	33
96	45.752287000	host	1.2.1	0x81						27
97	45.782402000	1.2.1	host	0x81					007f68547e00	33
98	45.782444000	host	1.2.1	0x81						27
99	45.813093000	1.2.1	host	0x81					009f687f7e00	33
100	45.813122000	host	1.2.1	0x81						27
101	45.978408000	1.2.1	host	0x81					019f687f7e00	33
102	45.978469000	host	1.2.1	0x81						27
103	46.021813000	1.2.1	host	0x81					009f687f7e00	33
104	46.021851000	host	1.2.1	0x81						27
105	46.042198000	1.2.1	host	0x81					003f687f7e00	33
106	46.042237000	host	1.2.1	0x81						27
107	46.072049000	1.2.1	host	0x81					003f67547e00	33
108	46.072089000	host	1.2.1	0x81						27
109	46.133091000	1.2.1	host	0x81					003f67297e00	33
110	46.133217000	host	1.2.1	0x81						27
111	46.285475000	1.2.1	host	0x81					001f67297e00	33
112	46.285573000	host	1.2.1	0x81						27
113	46.360837000	1.2.1	host	0x81					001f67ff7d00	33
114	46.360883000	host	1.2.1	0x81						27
115	46.410083000	1.2.1	host	0x81					011f67ff7d00	33
116	46.410130000	host	1.2.1	0x81						27
117	46.498220000	1.2.1	host	0x81					001f67ff7d00	33
118	46.498259000	host	1.2.1	0x81						27
119	46.528919000	1.2.1	host	0x81					001f67ff7d00	33
120	46.528965000	host	1.2.1	0x81						27
121	46.573906000	1.2.1	host	0x81					00ff66d47d00	33
122	46.573943000	host	1.2.1	0x81						27
123	46.929862000	1.2.1	host	0x81					00ff66ff7c00	33
124	46.929973000	host	1.2.1	0x81						27
125	46.963512000	1.2.1	host	0x81					007f67ff7800	33
126	46.963567000	host	1.2.1	0x81						27
127	46.998594000	1.2.1	host	0x81					003f68297100	33
128	46.998649000	host	1.2.1	0x81						27
129	47.029507000	1.2.1	host	0x81					005f68d46a00	33
130	47.029542000	host	1.2.1	0x81						27
131	47.058945000	1.2.1	host	0x81					00bf68ff6400	33
132	47.058980000	host	1.2.1	0x81						27
133	47.089327000	1.2.1	host	0x81					003f69d45c00	33
134	47.089361000	host	1.2.1	0x81						27
135	47.119282000	1.2.1	host	0x81					00bf69545700	33
136	47.119313000	host	1.2.1	0x81						27
137	47.150056000	1.2.1	host	0x81					00bf6a2a5400	33
138	47.150098000	host	1.2.1	0x81						27
139	47.181101000	1.2.1	host	0x81					009f6c2a5000	33
140	47.181142000	host	1.2.1	0x81						27
141	47.210984000	1.2.1	host	0x81					00df6daa4d00	33
142	47.211074000	host	1.2.1	0x81						27
143	47.256398000	1.2.1	host	0x81					009f6e2a4b00	33
144	47.256445000	host	1.2.1	0x81						27
145	47.301758000	1.2.1	host	0x81					00bf6eff4700	33
146	47.301815000	host	1.2.1	0x81						27
147	47.346703000	1.2.1	host	0x81					007f6daa4100	33
148	47.346747000	host	1.2.1	0x81						27
149	47.377361000	1.2.1	host	0x81					005f6bff3900	33
150	47.377411000	host	1.2.1	0x81						27
151	47.408079000	1.2.1	host	0x81					00df6a543700	33
152	47.408117000	host	1.2.1	0x81						27
153	47.438461000	1.2.1	host	0x81					00bf6ad43600	33
154	47.438497000	host	1.2.1	0x81						27
155	47.531227000	1.2.1	host	0x81					003f6bff3700	33
156	47.531310000	host	1.2.1	0x81						27
157	47.561461000	1.2.1	host	0x81					009f6cd43900	33
158	47.561501000	host	1.2.1	0x81						27
159	47.591168000	1.2.1	host	0x81					00bf6d543b00	33
160	47.591201000	host	1.2.1	0x81						27
161	47.621166000	1.2.1	host	0x81					007f6f543d00	33
162	47.621207000	host	1.2.1	0x81						27
163	47.651960000	1.2.1	host	0x81					001f71d43f00	33
164	47.651996000	host	1.2.1	0x81						27
165	47.682278000	1.2.1	host	0x81					001f72ff4100	33
166	47.682325000	host	1.2.1	0x81						27
167	47.713424000	1.2.1	host	0x81					007f727f4200	33
