126	9.121915000	host	1.2.1		0x81			27
127	9.167732000	1.2.1	host		0x81			33
128	9.167797000	host	1.2.1		0x81			27
129	9.318182000	1.2.1	host		0x81			33
130	9.318281000	host	1.2.1		0x81			27
131	9.348428000	1.2.1	host		0x81			33
132	9.348471000	host	1.2.1		0x81			27
133	9.380050000	1.2.1	host		0x81			33
134	9.380088000	host	1.2.1		0x81			27
135	9.411126000	1.2.1	host		0x81			33
136	9.411161000	host	1.2.1		0x81			27
137	9.441240000	1.2.1	host		0x81			33
138	9.441429000	host	1.2.1		0x81			27
139	9.471842000	1.2.1	host		0x81			33
140	9.471879000	host	1.2.1		0x81			27
141	9.503400000	1.2.1	host		0x81			33
142	9.503439000	host	1.2.1		0x81			27
143	9.533396000	1.2.1	host		0x81			33
144	9.533438000	host	1.2.1		0x81			27
145	9.564276000	1.2.1	host		0x81			33
146	9.564331000	host	1.2.1		0x81			27
147	11.497413000	1.2.1	host		0x81			33
148	11.497498000	host	1.2.1		0x81			27
149	11.527525000	1.2.1	host		0x81			33
150	11.527584000	host	1.2.1		0x81			27
151	11.573961000	1.2.1	host		0x81			33
152	11.574004000	host	1.2.1		0x81			27
153	11.619304000	1.2.1	host		0x81			33
154	11.619367000	host	1.2.1		0x81			27
155	11.664458000	1.2.1	host		0x81			33
156	11.664535000	host	1.2.1		0x81			27
157	11.694316000	1.2.1	host		0x81			33
158	11.694358000	host	1.2.1		0x81			27
159	11.725575000	1.2.1	host		0x81			33
160	11.725616000	host	1.2.1		0x81			27
161	11.747472000	1.2.1	host		0x81			33
162	11.747526000	host	1.2.1		0x81			27
163	11.786428000	1.2.1	host		0x81			33
164	11.786470000	host	1.2.1		0x81			27
165	11.816638000	1.2.1	host		0x81			33
166	11.816677000	host	1.2.1		0x81			27
167	11.847177000	1.2.1	host		0x81			33
168	11.847218000	host	1.2.1		0x81			27
169	11.877023000	1.2.1	host		0x81			33
170	11.877085000	host	1.2.1		0x81			27
171	11.907444000	1.2.1	host		0x81			33
